Company Name, telephone, Fax, Email, Website
Innovation Research , NaN, NaN, NaN, https://www.innovation-r.com
Issi Corporation , +81-771-27-2143, +81-771-27-2149, info@isshi.co.jp, http://www.isshi.co.jp/en/
Iwatani Corporation , 81-3-5405-5835, +81-771-27-2149, NaN, NaN
Japan Analytical Instruments Manufacturers' Association , NaN, NaN, NaN, NaN
Japan Auto Parts Industries Association , 81-3-3445-4212, 81-3-3447-5372, tsuzuki@japia.or.jp, http://www.japia.or.jp
Japan Micro-Nano Bubble Society Corporation, 81-3-4405-9340, 81-3-3447-5372, info@mnbsc.jp, NaN
Japan Reagent Association , NaN, NaN, NaN, NaN
JAPAN SPORT COUNCIL , 81-3-59630297, 81-3-59630214, opex-event@jpnsport.go.jp, https://www.jpnsport.go.jp/
JASCO Corporation, NaN, NaN, NaN, https://www.jasco.co.jp
Jiangsu Hualun Galaxy Chemical Commercial Holding Co. Ltd , 81-514-86507985, 81-514-86501755, jf@hualunchem.com, http://www.hualunchem.com/
Jiangsu Xinnuo Chemicals Co. Ltd. , +86-25-52225131, +86-25-52225133, chenzhu@xinnuochem.com, http://www.xinnuochem.com
Jiangxi Jinkai Chemical Co.Ltd. , 86-794-5370218, 86-794-5370228, SALES@IMIDAZOLE.COM.CN, NaN
KADO Corporation , 81-791-59-8080, 81-791-59-8899, kado@kado-corporation.com, http://www.kado-corporation.com
Kansai Electronics Co. Ltd. , 81-3-64232858, 81-3-64232857, NaN, http://www.kansaidenshi.co.jp/
KASAIKOGYOCO. LTD., 81-467-75-2577, 81-467-74-8791, NaN, http://www.kasai.co.jp/en/
KNC Laboratories Co.Ltd , +81-78-224-5106, +81-78-990-3215, s_kosaka@kncweb.co.jp, http://www.kncweb.co.jp/
KOATSU CHEMICAL INDUSTRIESLTD. , 81-6-6552-0151, 81-6-6551-0019, yamazaki@arakawachem.co.jp, http://www.koatsuchem.co.jp/
KOEI CHEMICALCO. LTD , 81-3-6837-9291, 81-3-6837-9310, NaN, http://www.koeichem.com/index.html
KOGANEI CORPORATION , 81-42-3837113, 81-42-3837303, hamada-ta@koganei.co.jp, NaN
KOGYO TSUSHIN CO.LTD , NaN, NaN, NaN, NaN
KONICA MINOLTA JAPAN INC. , NaN, NaN, NaN, NaN
Kyoto Prefectural University , NaN, NaN, NaN, NaN
KYOWA MANUFACTURING INC. , +81-526033131, +81-526033132, info@kyowa-tokai.co.jp, NaN
L.P.S.Works.Co.Ltd. , 81-3-3745-0330, 81-3-3745-0331, sugeta@lps-works.com, NaN
MARUHACHI CORPORATION , +81-776-67-0808, +81-776-67-8485, web@maruhati.co.jp, http://www.maruhati.co.jp
MATSUI MFG CO. LTD. , 81-72-851-6121, 81-72-856-6264, atsutsui@matsui.net, NaN
MATUMURA KOHKI , 81-467-50-0561, 81-467-50-0562, fukushima@matumura-kohki.co.jp, NaN
MEG-MARUKA KAKOUKI CO. LTD. , 81-561-32-2021, 81-561-32-9333, makoto.sugiura@meg-maruka.co.jp, https://www.meg-maruka.co.jp/
Mitsui Chemicals Inc. , 81-3-6253-3619, 81-3-6253-4239, Han.Zhang@mitsuichemicals.com, NaN
Mitsui ChemicalsInc. , +81-3-6253-2100, +81-3-6253-4245, NaN, NaN
MUROMACHI CHEMICALS INC. , NaN, NaN, NaN, NaN
NAKAMURA SCIENTIFIC INSTRUMENTS INDUSTRY Co.Ltd , 81-3-3661-4662, 81-3-3661-0369, sekiguchi@nmkkk.co.jp, http://www.globolab.jp/global/
Nanjing Union Chemical Company Limited , 86-25-84215737, 86-25-85582118, wowyoy@126.com, NaN
Nano CAME Co.Ltd. , 81-45-8716678, 81-45-8716678, miura@nanocame.jp, http://www.nanocame.jp/
NARD InstituteLtd. , 81-6-6482-7024, 81-6-6482-8034, corporate@nard.co.jp, http://www.nard.co.jp
National Institute for Materials Science , NaN, NaN, NaN, NaN
NEO CHEMICAL CO.LTD , NaN, NaN, hisata@neo-chem.com, NaN
NIHON POLYMER CO.LTD. , 81-568-33-2551, 81-568-32-5444, polymer@nihon-polymer.co.jp, http://www.nihon-polymer.co.jp
Ningxia Yoiuxin Industry Company Limited , 86-951-7805100, 86-951-7805026, NXYCFANGFANG@163.COM, http://www.youxin.net.cn
NIPPON DENSHOKU INDUSTRIES CO.LTD. , 03-3946-4392, 03-3946-1690, NaN, NaN
OSAKA YUKA INDUSTRY LTD. , NaN, NaN, NaN, https://www.osaka-yuka.co.jp/en/
PAI-NET , NaN, NaN, NaN, NaN
RIKO PUBLISH CORPORATION , 03-3263-4021, 03-3263-4022, info@rrikou.co.jp, http://www.rrikou.co.jp
Sanko Co. Ltd , 81-52-735-8888, 81-52-735-3333, shigeta@sanko-web.co.jp, NaN
Science & technology Co. Ltd. , NaN, NaN, NaN, https://www.science-t.com
Science News Co.Ltd. , NaN, NaN, NaN, NaN
Seibu Giken Co.Ltd. , 81-92-942-571, 81-92-944-6811, sales@seibu-giken.co.jp, NaN
Shandong Huimeng Bio-technology Co. Ltd , 86-530-8842888, 86-530-8842666, cindy.lee@huimengchem.com, NaN
Shanghai Domen International Co. Ltd. , 86-21-61066956, 86-21-61043546, sales@domen.com.cn, http://www.domen.com.cn/
Shigematsu & Co.Ltd. , 81-6- 6231-6146, 86-21-61043546, info@shigematsu-bio.com, http://www.shigematsu-bio.com/en
Shijiazhuang Boyaxin Science and Technology Co Ltd. , +86-311-68003685, +86-311-68003685, 2413706503@qq.com, http://www.boyafinechem.com
Sinochem Lantian Co.Ltd. , 86-571-82471726, +86-311-68003685, daiyebiao@sinochem.com, NaN
SOURCECHEM Co.Ltd.s , 86-412-8226789, 86-412-8228789, wanyan@sourcechem.cn, http://www.sourcechem.cn
T&K TOKA CO. LTD. , 81-49-258-1615, 86-412-8228789, NaN, https://www.tk-toka.co.jp/english/product/
TAIYO NIPPON SANSO Corporation , NaN, NaN, NaN, NaN
Taylor & Francis Group , NaN, NaN, tandfjapan@informa.com, NaN
TBM.Ltd. , NaN, NaN, NaN, NaN
TECHNOHILL CO.LTD , 81-3-5642-6144, 81-3-5642-6145, chemical@technohill.co.jp, http://www.technohill.co.jp/
TEIJIN FRONTIER CO. LTD. , +81-3-6402-7086, +81-6-6233-5195, nishikawa-to@teijin-frontier.com, http://www2.teijin-frontier.com/
THE JAPAN SOCIETY FOR ANALYTICAL CHEMISTRY , 81-3-3490-3351, 81-3-3490-3572, shomu@jsac.or.jp, https://www.jsac.jp/
The Society of Iodine Science , 81-43-445-7920, 81-3-3490-3572, t.kaiho@godoshigen.co.jp, NaN
The Society of Polymer Science Japan , NaN, NaN, NaN, NaN
The University of Tokyo , NaN, NaN, NaN, NaN
The University of Tokyo Graduate School of Engineering , NaN, NaN, NaN, NaN
ThermoFisher SCIENTIFIC , NaN, NaN, NaN, NaN
Time Chemical Co.Ltd. , NaN, NaN, NaN, NaN
TOHOKU UNIVERSITY & Nagase & Co.Ltd. , NaN, NaN, NaN, NaN
TOKYO DYLEC CORP , NaN, NaN, NaN, NaN
Toray Industries Inc. , +81-3-3245-5406, +81-3-3245-5977, kotaro_morimoto@nts.toray.co.jp, http://www.ecsaine.com/
TOYO INK CO. LTD. , 81-3-3272-5719, 81-3-3272-0658, mk-info@toyoinkgroup.com, http://www.toyoink.jp/en/index.html
Weifang Ouchem Trade Co.Ltd. , 86-536-8587661, 86-536-8588576, wangli@ouchem.cn, http://www.ouchem.cn/
X-Rite , 81-3-5579-6545, 81-3-5579-6547, info@xrite.co.jp, http://www.xrite.com/
Yordas Group , NaN, NaN, NaN, NaN
Zhangjiagang Feihang Technology Co. Ltd , 86-0512-58454577, 86-0512-58452577, sales@feihang.com, http://www.zjgfhkj.com/
